,source_id,shortname,ra,dec,parallax,G,J
219,271,0916+2139,139.06267,21.664222,48.81,17.802,13.223
223,277,2137+1450,324.2935005,14.846528,42.38,19.012,14.133
226,284,1013+3520,153.36652,35.348,29.32,19.006,14.296
239,309,2320+4123,350.12167,41.394722,17.89,19.232,14.585
241,311,1653+6231,253.3737495,62.526778,26.62,20.02,15.089
243,312,0915+0422,138.892209,4.367917,54.85,20.474,14.548
246,316,1212+0206,183.14121,2.1077778,18.06,20.76,16.128
248,317,0117-3403,19.447833,-34.057167,20.0,20.346,15.178
254,322,1928-4356,292.2165,-43.940444,34.56,20.484,15.199
256,323,0911+7401,137.8040415,74.018917,40.08,17.625999999999998,12.921
260,324,1922+6610,290.62758,66.172056,26.32,19.584,14.571
262,328,0316-2848,49.187958,-28.814469,30.06,19.57,14.578
265,332,0037-5846,9.4294167,-58.773028,19.74,20.531,15.374
269,333,1821+1414,275.367291,14.233611,106.65,18.684,13.431
273,334,0045+1634,11.339292,16.579056,57.3,18.168,13.059
284,339,1338+0437,204.7060005,4.625417,27.43,18.998,14.157
286,341,0616-4557,94.0221945,-45.952244,33.97,20.147000000000002,15.157
288,345,0632-5010,98.100083,-50.176361,32.67,20.28,15.024
292,347,1707+4301,256.888917,43.025111,38.41,18.719,13.974
294,348,0428-2253,67.212292,-22.889639,37.88,18.609,13.507
298,353,1526+2043,231.5585415,20.728167,48.5,20.701999999999998,15.586
309,364,1539-0520,234.9245415,-5.345222,58.82,19.01,13.922
317,376,0624-4521,96.1914585,-45.365222,81.62,19.842,14.48
322,381,1753-6559,268.4382495,-65.998861,63.82,19.344,14.095
326,387,1048+0111,162.1783755,1.199444,66.46,17.703,12.924
331,395,0652+4710,103.128042,47.176333,109.69,18.822,13.511
336,403,0928-1603,142.1655,-16.053556,32.31,20.297,15.322
339,413,0608-2753,92.220125,-27.899528,22.65,18.538,13.595
343,415,0953-1014,148.33862,-10.239046,27.89,18.415,13.469
350,420,1711+2326,257.80633,23.44256,31.0,19.552,14.499
355,424,0128-5545,22.111035,-55.759533,54.02,18.596,13.775
357,428,0123-4240,20.9960415,-42.668694,38.78,17.563,13.153
361,432,2317-4838,349.4463645,-48.647266,50.02,20.613000000000003,15.15
364,434,2322-3133,350.69517,-31.556389,50.32,18.324,13.577
369,439,1254-0122,193.724709,-1.379833,74.18,20.883000000000003,14.891
375,443,2213-2136,333.43712,-21.602194,21.14,20.563000000000002,15.376
379,445,1100+4957,165.040209,49.963056,37.55,20.441,15.282
381,449,0501-0010,75.35025,-0.17922222,47.08,20.43,14.982
387,451,2324-5817,351.2110485,-58.29874,31.36,20.65,15.568
389,452,1843+4040,280.84222,40.672493,69.46,15.431,11.313
393,453,0436-4218,69.085583,-42.314544,21.79,19.508,14.489
395,455,0500+0330,75.0874995,3.513917,73.85,18.924,13.669
401,461,2150-6610,327.55542,-66.176667,34.92,18.511,13.86
405,466,2157-5534,329.454333,-55.578333,29.08,18.91,14.263
407,468,0010-2031,2.5003755,-20.520056,35.22,18.861,14.134
409,472,0219+0506,34.8415,5.1085,26.04,20.042,14.971
413,478,1956-1754,299.06425,-17.907,28.48,18.129,13.754
415,479,1615+3559,243.93375,35.983333,50.06,19.639,14.539
417,488,1221+0257,185.365416,2.9555,53.95,17.86,13.169
419,490,0922-8010,140.5813335,-80.17775,33.6,20.326,15.276
421,495,2243-5932,340.820715,-59.539062,36.64,18.793,14.074
423,502,0439-2353,69.754209,-23.885639,80.79,19.581,14.408
431,518,2322-6151,350.72079,-61.857639,23.24,20.682,15.545
435,524,1058-1548,164.6994585,-15.804778,54.65,19.252,14.155
439,525,2345+0055,356.412659,0.920476,19.72,18.397000000000002,13.771
441,528,1154-3400,178.67596,-34.010833,25.3,19.15,14.195
446,531,1550+1455,237.535209,14.921667,30.12,20.192,14.776
448,532,1722+6329,260.684667,63.496389,16.69,20.137,15.367
456,552,2126-8140,321.71,-81.674806,29.25,20.725,15.542
460,566,0602+3910,90.6268755,39.183111,85.61,17.256,12.3
464,567,0235-2331,38.999709,-23.522361,46.58,18.598,13.67
469,576,1425-3650,216.36658,-36.839694,84.52,18.98,13.747
473,577,0323-4631,50.79175,-46.52325,17.0,20.595,15.389
477,578,0314+1603,48.5143335,16.051556,69.0,17.232,12.526
483,583,0051-1544,12.794916,-15.738028,29.1,20.565,15.277
488,588,1512+3403,228.169455,34.063917000000004,33.14,19.904,15.04
491,593,0033-1521,8.3494167,-15.358583,24.8,20.355,15.286
495,594,0032-4405,8.2326667,-44.084944,21.6,19.781,14.776
504,598,0539-0059,84.96662,-0.98389,76.12,19.178,14.033
508,599,0723+5727,110.810916,57.45225,39.77,18.769000000000002,13.97
511,602,1022+0200,155.52033,2.01319,26.4,18.792,14.1
518,610,0109-4954,17.28825,-49.914778,29.86,17.812,13.546
521,614,0847-1532,131.8696665,-15.543667,56.92,18.378,13.513
525,617,0823+2428,125.9507505,24.482694,39.52,20.072,14.986
527,619,2036+1051,309.013167,10.858194,42.37,19.009,13.95
529,620,0106-5933,16.5952335,-59.555153,27.91,19.065,14.33
534,628,1428+5923,217.130502,59.393185,45.41,20.005,14.781
536,631,1658+7026,254.51585415,70.45043333,53.9,18.112000000000002,13.288
541,641,1320+0409,200.184459,4.15125,32.27,20.289,15.246
549,651,1440+1233,220.12604,12.559419,23.54,19.039,14.415
552,663,1337+4938,204.37979,49.643528,35.53,18.427,13.765
554,664,1336+3743,204.1692495,37.723056,32.2,19.182000000000002,14.412
558,681,1645+3004,251.34196,30.068639,36.88,20.277,15.19
562,693,0239-1735,39.9268755,-17.596417,33.59,19.01,14.291
564,697,2057-0252,314.475375,-2.875056,64.47,18.066,13.121
576,721,0523-1403,80.90925,-14.050611,78.36,18.057000000000002,13.084
580,722,0024-0158,6.10475,-1.9712778,79.97,16.596,11.992
584,723,0445-3048,71.4744585,-30.805667,61.97,18.256,13.393
590,731,0223-5815,35.977667,-58.251861,24.42,20.224,15.07
595,733,0227-1624,36.793167,-16.413306,48.79,18.402,13.573
602,742,1503+2525,225.831708,25.422111,154.92,20.312,13.937
607,751,0443+0002,70.90671,0.034773,40.0,17.333,12.507
611,754,2254-2840,343.716417,-28.673694,34.79,18.924,14.134
615,757,2206-4217,331.68742,-42.289111,33.79,20.805,15.555
620,766,0602+6336,90.5923335,63.610861,28.84,19.322,14.266
622,768,0543+6422,85.828625,64.381333,32.84,18.971,13.567
624,771,0605-2342,91.257917,-23.707222,30.63,19.325,14.512
628,785,1359-4034,209.9795835,-40.582833,47.51,18.43,13.645
632,786,1402+0648,210.59312,6.8133056,26.27,18.502,13.719
634,788,1807+5015,271.8163755,50.258778,68.33,17.807000000000002,12.934
636,790,2331+1552,352.87229,15.872778,25.18,19.758,15.057
643,799,1305+2046,196.4210835,20.777611,50.43,20.38,15.201
646,801,1231+4959,187.8392085,49.989833,27.41,19.719,14.617
648,802,2107-4544,316.9753755,-45.735111,30.65,19.877,14.915
652,819,1341-3052,205.298334,-30.880694,36.56,19.544,14.607
656,825,0345+2540,56.4298335,25.673139,37.1,18.812,13.997
660,829,0219-1938,34.8669585,-19.644889,36.38,18.916,14.11
662,833,0230+2704,37.5646245,27.068361,22.97,19.057000000000002,14.294
664,837,2028+0052,307.084791,0.874028,35.21,19.276,14.298
666,838,0652-2534,103.08238,-25.580717,62.44,17.46,12.759
672,842,0019-3724,4.913625,-37.410889,25.27,20.701999999999998,15.519
674,844,0015+3516,3.9364995,35.267389,58.61,18.682000000000002,13.878
676,847,0719-5051,109.882833,-50.861389,32.6,18.814,14.094
680,848,0717+5705,109.31775,57.095278,33.66,19.76,14.636
683,850,0712-6155,108.15775,-61.931333,22.9,20.429000000000002,15.296
687,852,2002-0521,300.711375,-5.364556,51.0,20.634,15.316
698,919,1428+3310,217.17971,33.176889,90.8,16.63,11.99
703,1095,0032+0219,8.0212083,2.3171389,41.05,19.182000000000002,15.875
705,1101,0147-4954,26.88675,-49.913278,27.88,17.448,13.058
739,1333,1013-1356,153.2809,-13.9428,17.87,17.971,14.621
746,1338,1036-3441,159.2210415,-34.693889,61.5,20.877,15.62
757,1357,1256-0224,194.15484,-2.4145,11.1,20.053,16.099
768,1368,0234-6442,38.503875,-64.701889,20.81,20.26,15.325
858,1828,0001+0652,0.252184993,6.88314817,20.73,19.507,14.831
860,1830,0004-4044,1.149080364,-40.741579488,82.09,18.353,13.109000000000002
862,1833,0006-1720,1.585252334,-17.347412802,25.18,20.731,15.662
864,1834,0006-0852,1.7045826130000001,-8.880870625,34.07,18.705,14.143
866,1836,0006-6436,1.742245558,-64.615330945,23.26,18.207,13.385
868,1838,0013-2235,3.491106518,-22.589263482,36.81,20.883000000000006,15.775
870,1840,0014-0838,3.711069681,-8.640151419,20.14,18.126,14.469
872,1841,0014-4844,3.7380641939999997,-48.736816623,50.11,19.068,14.05
874,1844,0016-1039,4.156241659,-10.653845087,15.89,20.22,15.455
876,1845,0019+0030,4.798400971,0.504712001,26.11,19.817,14.921
878,1846,0019+4018,4.886018648,40.315111479,17.81,20.668000000000006,15.544
880,1849,0021-4244,5.276170247,-42.745423869,38.52,18.355,13.521
882,1850,0022-0110,5.539335964,-1.177589084,12.87,20.317,15.816
886,1853,0026-0943,6.546806682000001,-9.728676501,17.05,20.514,15.601
888,1854,0026+0632,6.668619442000001,6.537361408,31.25,19.307,14.572
890,1855,0028+2248,7.090163406,22.815907902,41.35,20.889,15.607
892,1856,0028+1131,7.189320322,11.531980400999998,13.96,20.575,16.012
894,1857,0029+0303,7.351044288,3.055584177,13.67,20.336,15.598
896,1859,0030+2244,7.604228935,22.746128459,28.85,19.407,14.586
898,1860,0030+3139,7.682336772,31.658638206,20.17,20.479,15.48
900,1861,0032-2237,8.180041222,-22.624251815999997,22.56,20.13,15.388
903,1864,0036+1821,9.0712227,18.3533929,114.42,17.519000000000002,12.466
905,1865,0038+1343,9.683514257,13.727403857999999,12.25,20.783,15.908
907,1866,0041+1341,10.476414058,13.692472405,32.99,19.169,14.454
909,1867,0043+2221,10.859675995999998,22.356134941999997,14.74,19.112,14.871
911,1868,0046+0251,11.565029419000002,2.8663726689999995,25.27,19.126,14.401
913,1869,0046+1608,11.700211306,16.135396153,15.16,20.394,15.679
915,1870,0048+0123,12.18733683,1.389529557,14.58,20.119,15.289
917,1871,0054-0031,13.528247015,-0.51796996,19.26,20.597,15.731
919,1872,0057-0846,14.27302483,-8.773427247,12.8,20.513,15.698
